Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-01-15,570703,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Alewife to Davis,place-alfcl | place-davis,Between Stations,RBSB-02,Active Restriction,2023-08-22,,10 mph,Track,1000.0,0.1893939393939394,0.0039948099429221,47.41,0.0013883150520007,136.42,Single Segment,Start|End,146,,1,0,0,0,0,1
2024-04-18,541215,EB,Blue Line,Blue Line,BL EB,EB Airport to Wood I,place-aport | place-wimnl,Between Stations,BLEB-12,Active Restriction,2023-05-09,,10 mph,Track,99.00000000000092,0.0187500000000001,0.0015024038461538,12.48,0.0001374431901480734,136.42,Multi-Segment,Start,345,,1,0,0,0,0,1
2024-09-26,523902,SB,Orange Line,Orange Line,OL SB,SB Roxbury Cross. to Jackson Sq.,place-rcmnl | place-jaksn,Between Stations,OLSB-32,Active Restriction,2023-03-09,,25 mph,Track,1000.0,0.1893939393939394,0.0084025705143717,22.54,0.0013883150520007,136.42,Single Segment,Start|End,567,,1,0,0,0,0,1
2024-02-27,532638,WB,Blue Line,Blue Line,BL WB,WB Revere Beach to Beachmont,place-rbmnl | place-bmmnl,Between Stations,BLWB-04,Active Restriction,2023-04-08,,25 mph,Track,799.0000000000009,0.1513257575757577,0.0121254613442113,12.48,0.0011092637265485,136.42,Multi-Segment,Start,325,,1,0,0,0,0,1
2024-02-08,541766,SB,Orange Line,Orange Line,OL SB,SB Sullivan to Comm. College,place-sull | place-ccmnl,Between Stations,OLSB-10,Active Restriction,2023-05-11,,25 mph,Track,3100.0,0.5871212121212122,0.0260479685945524,22.54,0.0043037766612022,136.42,Single Segment,Start|End,273,,1,0,0,0,0,1
2024-04-08,549345,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Warren St Station,place-wrnst,Station,GBWB-21,Active Restriction,2023-06-14,,6 mph,Track,208.00000000000125,0.0393939393939396,0.0007296525170205526,53.99,0.0002887695308161533,136.42,Multi-Segment,Midpoint,299,,0,0,0,0,0,0
2024-06-04,000124R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2024-02-13,,10 mph,Track,600.0,0.1136363636363636,0.0023968859657532,47.41,0.0008329890312004372,136.42,Single Segment,Start|End,112,,1,0,0,0,0,1
2024-02-09,531819,EB,Blue Line,Blue Line,BL EB,EB Beachmont to Revere Beach,place-bmmnl | place-rbmnl,Between Stations,BLEB-20,Active Restriction,2023-04-05,,25 mph,Track,1700.0,0.3219696969696969,0.0257988539238539,12.48,0.0023601355884012,136.42,Single Segment,Start|End,310,,1,0,0,0,0,1
2024-01-04,000045L,NB,Orange Line,Orange Line,OL NB,NB Back Bay to Tufts Med.,place-bbsta | place-tumnl,Between Stations,OLNB-16,Active Restriction,2023-10-20,,25 mph,Track,600.0,0.1136363636363636,0.005041542308623,22.54,0.0008329890312004372,136.42,Multi-Segment,End,76,,0,0,0,0,0,0
2024-04-29,000117R,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Between Stations,RBSB-26,Active Restriction,2024-02-08,,10 mph,Track,200.0,0.0378787878787878,0.0007989619885844312,47.41,0.00027766301040014574,136.42,Single Segment,Start|End,81,,1,0,0,0,0,1
