mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Massachusetts Avenue,place-masta,4072,3971,60,68,66,1044,295
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Green Street,place-grnst,195,9784,60,3,163,495,440
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_07,EVENING,Massachusetts Avenue,place-masta,18131,21632,60,302,361,3188,424
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Orient Heights,place-orhte,19486,418,75,260,6,947,89
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Malden Center,place-mlmnl,17328,112,60,289,2,393,594
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_06,PM_PEAK,Airport,place-aport,63646,13466,75,849,180,2459,193
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_08,LATE_EVENING,Orient Heights,place-orhte,1823,38888,75,24,519,1407,241
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_03,Sunday,time_period_11,OFF_PEAK,Jackson Square,place-jaksn,24130,2519,13,1856,194,7416,573
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_03,Sunday,time_period_11,OFF_PEAK,North Quincy,place-nqncy,2053,8752,7,293,1250,3636,1080
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Chinatown,place-chncl,1963,2291,60,33,38,878,287
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Roxbury Crossing,place-rcmnl,27621,7056,60,460,118,2606,328
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Charles/MGH,place-chmnl,1794,43780,49,37,893,1053,483
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_02,Saturday,time_period_10,OFF_PEAK,Stony Brook,place-sbmnl,1225,20910,13,94,1608,5639,644
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Back Bay,place-bbsta,396,6593,60,7,110,214,586
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Wollaston,place-wlsta,4744,11759,49,97,240,1027,834
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Assembly,place-astao,32328,6178,60,539,103,2051,765
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Ruggles,place-rugg,540,4426,60,9,74,107,599
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Wonderland,place-wondl,0,1785,75,0,24,0,11
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Davis,place-davis,142,721,49,3,15,32,462
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Community College,place-ccmnl,11161,48960,60,186,816,2777,378
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Davis,place-davis,873,81,49,18,2,36,997
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_02,Saturday,time_period_10,OFF_PEAK,Aquarium,place-aqucl,51294,19206,16,3206,1200,20256,60
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Quincy Center,place-qnctr,90,2518,49,2,51,70,1007
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Jackson Square,place-jaksn,15680,749,60,261,12,1041,293
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Park Street,place-pktrm,97004,103312,49,1980,2108,5363,827
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_07,EVENING,Jackson Square,place-jaksn,3451,38553,60,58,643,2329,421
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Broadway,place-brdwy,18864,6960,10,1886,696,16895,911
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Shawmut,place-smmnl,69,152,49,1,3,17,1166
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Braintree,place-brntn,488,0,49,10,0,10,889
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Green Street,place-grnst,2173,84,60,36,1,298,271
